,min,avg,max,mdev
planetlab-n2.wand.net.nz,171.521,171.572,171.946,0.244
,,,,
planetlab-n2.wand.net.nz,171.521,171.774,175.31,0.826
,,,,
planetlab-n2.wand.net.nz,171.516,171.754,175.594,0.91
,,,,
planetlab-n2.wand.net.nz,171.487,171.773,176.234,1.142
,,,,
planetlab-n2.wand.net.nz,171.5,171.547,171.58,0.414
,,,,
planetlab-n2.wand.net.nz,171.518,171.576,171.775,0.351
,,,,
planetlab-n2.wand.net.nz,171.498,171.557,171.733,0.323
,,,,
planetlab-n2.wand.net.nz,171.51,171.545,171.702,0.039
,,,,
planetlab-n2.wand.net.nz,171.505,171.552,171.64,0.415
,,,,
planetlab-n2.wand.net.nz,171.472,171.535,171.614,0.228
,,,,
planetlab-n2.wand.net.nz,171.483,171.538,171.688,0.137
,,,,
planetlab-n2.wand.net.nz,171.503,171.994,178.357,1.638
,,,,
planetlab-n2.wand.net.nz,171.494,172.048,177.038,1.499
,,,,
planetlab-n2.wand.net.nz,171.476,172.241,179.829,2.2
,,,,
planetlab-n2.wand.net.nz,171.515,171.567,171.725,0.474
,,,,
planetlab-n2.wand.net.nz,171.503,171.534,171.57,0.015
,,,,
planetlab-n2.wand.net.nz,171.499,171.542,171.615,0.525
,,,,
planetlab-n2.wand.net.nz,171.501,171.551,171.742,0.542
,,,,
planetlab-n2.wand.net.nz,171.508,171.55,171.679,0.19
,,,,
planetlab-n2.wand.net.nz,171.52,171.569,171.701,0.045
,,,,
planetlab-n2.wand.net.nz,171.518,171.543,171.596,0.321
,,,,
planetlab-n2.wand.net.nz,171.526,171.829,176.642,1.232
,,,,
planetlab-n2.wand.net.nz,171.527,171.579,171.72,0.35
,,,,
planetlab-n2.wand.net.nz,171.519,171.716,172.203,0.544
,,,,
planetlab-n2.wand.net.nz,171.544,171.612,172.134,0.538
,,,,
planetlab-n2.wand.net.nz,171.536,171.581,171.773,0.456
,,,,
planetlab-n2.wand.net.nz,171.533,171.605,172.041,0.11
,,,,
planetlab-n2.wand.net.nz,171.522,172.027,176.357,1.092
,,,,
planetlab-n2.wand.net.nz,171.537,171.784,174.808,0.709
,,,,
planetlab-n2.wand.net.nz,171.532,171.768,175.398,0.968
,,,,
planetlab-n2.wand.net.nz,171.52,172.362,178.917,1.679
,,,,
planetlab-n2.wand.net.nz,171.523,171.585,171.797,0.272
,,,,
planetlab-n2.wand.net.nz,171.514,171.585,171.909,0.382
,,,,
planetlab-n2.wand.net.nz,171.516,171.912,178.248,1.522
,,,,
planetlab-n2.wand.net.nz,171.513,172.017,179.376,1.704
,,,,
planetlab-n2.wand.net.nz,171.497,171.922,179.351,1.797
,,,,
planetlab-n2.wand.net.nz,171.506,171.557,171.746,0.527
,,,,
planetlab-n2.wand.net.nz,171.507,171.544,171.594,0.556
,,,,
planetlab-n2.wand.net.nz,171.486,171.58,172.231,0.33
,,,,
planetlab-n2.wand.net.nz,171.501,171.543,171.575,0.571
,,,,
planetlab-n2.wand.net.nz,171.515,171.551,171.675,0.508
,,,,
planetlab-n2.wand.net.nz,171.512,171.542,171.602,0.54
,,,,
planetlab-n2.wand.net.nz,171.5,171.536,171.602,0.414
,,,,
planetlab-n2.wand.net.nz,171.515,171.545,171.593,0.393
,,,,
planetlab-n2.wand.net.nz,171.508,171.54,171.636,0.556
,,,,
planetlab-n2.wand.net.nz,171.519,171.843,176.997,1.303
,,,,
planetlab-n2.wand.net.nz,171.513,171.55,171.619,0.556
,,,,
planetlab-n2.wand.net.nz,171.512,171.567,171.717,0.418
,,,,
planetlab-n2.wand.net.nz,171.51,171.541,171.588,0.371
,,,,
planetlab-n2.wand.net.nz,171.523,171.597,171.968,0.165
,,,,
planetlab-n2.wand.net.nz,171.515,171.701,172.458,0.534
,,,,
planetlab-n2.wand.net.nz,171.515,171.552,171.694,0.295
,,,,
planetlab-n2.wand.net.nz,171.489,171.569,171.857,0.532
,,,,
planetlab-n2.wand.net.nz,171.499,171.55,171.684,0.296
,,,,
planetlab-n2.wand.net.nz,171.51,171.57,171.906,0.561
,,,,
planetlab-n2.wand.net.nz,171.504,171.532,171.563,0.131
,,,,
planetlab-n2.wand.net.nz,171.498,171.526,171.551,0.507
,,,,
planetlab-n2.wand.net.nz,171.485,171.624,173.488,0.595
,,,,
planetlab-n2.wand.net.nz,171.511,171.558,171.696,0.348
,,,,
planetlab-n2.wand.net.nz,171.516,171.583,171.915,0.479
,,,,
planetlab-n2.wand.net.nz,171.545,172.659,182.581,3.217
,,,,
planetlab-n2.wand.net.nz,171.512,171.856,175.659,0.926
,,,,
planetlab-n2.wand.net.nz,171.518,171.735,172.732,0.462
,,,,
planetlab-n2.wand.net.nz,171.538,171.681,171.956,0.552
,,,,
planetlab-n2.wand.net.nz,171.533,171.769,173.876,0.604
,,,,
planetlab-n2.wand.net.nz,171.512,171.629,171.959,0.506
,,,,
planetlab-n2.wand.net.nz,171.518,171.698,172.875,0.634
,,,,
planetlab-n2.wand.net.nz,171.506,171.883,174.869,0.923
,,,,
planetlab-n2.wand.net.nz,171.504,171.595,172.269,0.516
,,,,
planetlab-n2.wand.net.nz,171.522,171.555,171.655,0.229
,,,,
planetlab-n2.wand.net.nz,171.511,171.636,173.139,0.667
,,,,
planetlab-n2.wand.net.nz,171.517,171.761,175.514,0.956
,,,,
planetlab-n2.wand.net.nz,171.516,171.637,173.222,0.665
,,,,
planetlab-n2.wand.net.nz,171.528,171.614,172.542,0.484
,,,,
planetlab-n2.wand.net.nz,171.505,171.551,171.625,0.371
,,,,
planetlab-n2.wand.net.nz,171.505,171.554,171.65,0.416
,,,,
planetlab-n2.wand.net.nz,171.498,171.543,171.639,0.556
,,,,
planetlab-n2.wand.net.nz,171.501,171.557,171.635,0.491
,,,,
planetlab-n2.wand.net.nz,171.505,171.59,172.075,0.505
,,,,
planetlab-n2.wand.net.nz,171.517,171.574,171.683,0.509
,,,,
planetlab-n2.wand.net.nz,171.509,171.545,171.609,0.414
,,,,
planetlab-n2.wand.net.nz,171.504,171.61,172.008,0.414
,,,,
planetlab-n2.wand.net.nz,171.508,171.609,172.386,0.57
,,,,
planetlab-n2.wand.net.nz,171.523,171.564,171.648,0.348
,,,,
planetlab-n2.wand.net.nz,171.543,171.601,171.803,0.544
,,,,
planetlab-n2.wand.net.nz,171.521,171.643,171.8,0.546
,,,,
planetlab-n2.wand.net.nz,171.542,171.649,172.007,0.384
,,,,
planetlab-n2.wand.net.nz,171.538,171.721,172.687,0.626
,,,,
planetlab-n2.wand.net.nz,171.562,171.765,173.466,0.626
,,,,
planetlab-n2.wand.net.nz,171.542,172.001,178.229,1.477
,,,,
planetlab-n2.wand.net.nz,171.525,171.619,172.069,0.553
,,,,
planetlab-n2.wand.net.nz,171.485,171.697,172.99,0.608
,,,,
planetlab-n2.wand.net.nz,171.522,171.552,171.619,0.024
,,,,
planetlab-n2.wand.net.nz,171.479,171.543,171.598,0.454
,,,,
planetlab-n2.wand.net.nz,171.498,171.572,171.824,0.559
,,,,
planetlab-n2.wand.net.nz,171.51,171.58,171.931,0.403
,,,,
planetlab-n2.wand.net.nz,171.506,171.571,171.822,0.4
,,,,
planetlab-n2.wand.net.nz,171.509,171.555,171.649,0.525
,,,,
planetlab-n2.wand.net.nz,171.49,171.594,172.714,0.343
,,,,
planetlab-n2.wand.net.nz,171.503,171.564,171.762,0.234
,,,,
planetlab-n2.wand.net.nz,171.499,171.796,175.746,0.991
,,,,
planetlab-n2.wand.net.nz,171.496,171.535,171.649,0.571
,,,,
planetlab-n2.wand.net.nz,171.493,171.532,171.576,0.507
,,,,
planetlab-n2.wand.net.nz,171.521,171.566,171.703,0.456
,,,,
planetlab-n2.wand.net.nz,171.488,171.566,172.066,0.341
,,,,
planetlab-n2.wand.net.nz,171.484,171.538,171.613,0.394
,,,,
planetlab-n2.wand.net.nz,171.506,171.553,171.874,0.46
,,,,
planetlab-n2.wand.net.nz,171.489,171.887,177.919,1.445
,,,,
planetlab-n2.wand.net.nz,171.515,171.603,171.828,0.461
,,,,
planetlab-n2.wand.net.nz,171.552,171.694,172.168,0.299
,,,,
planetlab-n2.wand.net.nz,171.525,171.91,176.285,1.119
,,,,
planetlab-n2.wand.net.nz,171.522,171.788,172.485,0.275
,,,,
planetlab-n2.wand.net.nz,171.526,171.66,172.282,0.31
,,,,
planetlab-n2.wand.net.nz,171.501,171.599,171.787,0.4
,,,,
planetlab-n2.wand.net.nz,171.509,171.568,171.655,0.348
,,,,
planetlab-n2.wand.net.nz,171.495,172.242,184.674,2.879
,,,,
planetlab-n2.wand.net.nz,171.506,171.565,171.762,0.193
,,,,
planetlab-n2.wand.net.nz,171.509,171.603,172.683,0.58
,,,,
planetlab-n2.wand.net.nz,171.508,171.54,171.613,0.186
,,,,
planetlab-n2.wand.net.nz,171.505,171.559,171.65,0.541
,,,,
planetlab-n2.wand.net.nz,171.517,171.634,173.024,0.57
,,,,
planetlab-n2.wand.net.nz,171.493,171.535,171.664,0.372
,,,,
planetlab-n2.wand.net.nz,171.495,171.719,175.108,0.81
,,,,
planetlab-n2.wand.net.nz,171.499,171.545,171.65,0.348
,,,,
planetlab-n2.wand.net.nz,171.507,171.998,180.802,2.082
,,,,
planetlab-n2.wand.net.nz,171.497,171.54,171.726,0.395
,,,,
planetlab-n2.wand.net.nz,171.508,172.138,179.539,1.748
,,,,
planetlab-n2.wand.net.nz,171.499,171.872,177.944,1.477
,,,,
planetlab-n2.wand.net.nz,171.498,171.534,171.634,0.556
,,,,
planetlab-n2.wand.net.nz,171.491,171.681,172.43,0.583
,,,,
planetlab-n2.wand.net.nz,171.492,171.565,171.889,0.497
,,,,
planetlab-n2.wand.net.nz,152.577,153.196,161.174,1.88
,,,,
planetlab-n2.wand.net.nz,171.496,171.569,171.689,0.573
,,,,
planetlab-n2.wand.net.nz,171.529,171.824,174.7,0.88
,,,,
planetlab-n2.wand.net.nz,171.54,171.7,173.137,0.629
,,,,
planetlab-n2.wand.net.nz,171.547,172.054,174.742,0.974
,,,,
planetlab-n2.wand.net.nz,171.52,171.608,171.725,0.194
,,,,
planetlab-n2.wand.net.nz,171.528,171.663,173.115,0.652
,,,,
planetlab-n2.wand.net.nz,171.517,171.604,172.199,0.397
,,,,
planetlab-n2.wand.net.nz,171.537,171.582,171.821,0.527
,,,,
planetlab-n2.wand.net.nz,171.492,171.552,171.651,0.188
,,,,
planetlab-n2.wand.net.nz,171.515,171.549,171.621,0.371
,,,,
planetlab-n2.wand.net.nz,171.505,171.554,171.746,0.558
,,,,
planetlab-n2.wand.net.nz,171.499,171.553,171.65,0.187
,,,,
planetlab-n2.wand.net.nz,171.5,171.86,175.208,1.066
,,,,
planetlab-n2.wand.net.nz,171.478,171.542,171.569,0.393
,,,,
planetlab-n2.wand.net.nz,171.468,171.538,171.637,0.455
,,,,
planetlab-n2.wand.net.nz,171.526,171.565,171.833,0.458
,,,,
planetlab-n2.wand.net.nz,171.507,171.571,171.769,0.375
,,,,
planetlab-n2.wand.net.nz,171.526,171.556,171.62,0.321
,,,,
planetlab-n2.wand.net.nz,171.497,171.735,174.279,0.809
,,,,
planetlab-n2.wand.net.nz,171.505,171.544,171.588,0.434
,,,,
planetlab-n2.wand.net.nz,171.504,171.71,174.765,0.876
,,,,
planetlab-n2.wand.net.nz,171.508,171.587,171.787,0.561
,,,,
planetlab-n2.wand.net.nz,171.503,171.668,172.725,0.601
,,,,
planetlab-n2.wand.net.nz,152.552,153.134,159.605,1.519
,,,,
planetlab-n2.wand.net.nz,171.493,171.657,172.827,0.586
,,,,
planetlab-n2.wand.net.nz,171.526,171.667,172.54,0.632
,,,,
planetlab-n2.wand.net.nz,171.524,171.684,172.689,0.596
,,,,
planetlab-n2.wand.net.nz,171.105,171.156,171.316,0.492
,,,,
planetlab-n2.wand.net.nz,171.127,171.182,171.324,0.14
,,,,
planetlab-n2.wand.net.nz,171.116,171.175,171.528,0.577
,,,,
planetlab-n2.wand.net.nz,171.127,171.234,172.761,0.656
,,,,
planetlab-n2.wand.net.nz,171.109,171.144,171.19,0.186
,,,,
planetlab-n2.wand.net.nz,171.117,171.144,171.211,0.523
,,,,
planetlab-n2.wand.net.nz,171.113,171.159,171.33,0.436
,,,,
planetlab-n2.wand.net.nz,171.101,171.453,177.123,1.415
,,,,
planetlab-n2.wand.net.nz,171.101,171.395,176.104,1.089
,,,,
planetlab-n2.wand.net.nz,171.119,171.309,174.384,0.807
,,,,
planetlab-n2.wand.net.nz,171.112,171.607,178.677,1.723
,,,,
planetlab-n2.wand.net.nz,171.116,171.145,171.196,0.024
,,,,
planetlab-n2.wand.net.nz,171.104,171.156,171.222,0.434
,,,,
planetlab-n2.wand.net.nz,171.53,171.586,172.006,0.482
,,,,
planetlab-n2.wand.net.nz,171.53,171.615,172.699,0.55
,,,,
planetlab-n2.wand.net.nz,171.527,171.549,171.564,0.49
,,,,
planetlab-n2.wand.net.nz,171.515,171.556,171.597,0.393
,,,,
planetlab-n2.wand.net.nz,171.528,171.568,171.644,0.435
,,,,
planetlab-n2.wand.net.nz,171.53,171.596,171.767,0.456
,,,,
planetlab-n2.wand.net.nz,171.527,171.567,171.684,0.491
,,,,
planetlab-n2.wand.net.nz,171.561,172.766,176.298,1.257
,,,,
planetlab-n2.wand.net.nz,171.512,171.681,172.494,0.406
,,,,
planetlab-n2.wand.net.nz,171.504,171.618,172.346,0.421
,,,,
planetlab-n2.wand.net.nz,171.557,232.932,382.403,60.753
,,,,
planetlab-n2.wand.net.nz,176.483,286.108,403.344,82.151
,,,,
planetlab-n2.wand.net.nz,171.548,246.948,386.654,65.444
,,,,
planetlab-n2.wand.net.nz,171.539,217.096,397.27,62.697
,,,,
planetlab-n2.wand.net.nz,175.377,278.493,423.488,80.07
,,,,
planetlab-n2.wand.net.nz,174.439,293.708,408.744,62.992
,,,,
planetlab-n2.wand.net.nz,171.537,233.13,411.581,65.264
,,,,
planetlab-n2.wand.net.nz,171.522,171.742,175.112,0.925
,,,,
planetlab-n2.wand.net.nz,171.538,171.563,171.622,0.524
,,,,
planetlab-n2.wand.net.nz,171.528,171.562,171.64,0.54
,,,,
,171.4346789,173.1867859,177.6933551,1.976477807
